Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
15,dse1eu8y1o3t00rlbxpgo084c,5427,Versailles,Versailles,VRS,Versailles,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1120,"113,557","34,667","53,429","15,939",7319.2,3113.6,3503,4751,1135,444,160,5427,2,VRS vs P13,true,false,true,false,false,2025-08-15,9r1h3gsbf1u3gozvtyr592f4k,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Versailles,Paris 13 Atletico,P13,2,1,Played,W 2-1,2585269,VRS vs P13 (2025-08-15)
31,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1046,"103,328","30,891","50,695","13,504",4702.3,1258.3,3188,4301,981,301,68,921,3,PUY vs CHA,false,true,false,true,false,2025-08-22,9sgc6840y309m5jfkk8mmk5ck,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Châteauroux,Le Puy Foot,PUY,2,2,Played,T 2-2,2585273,PUY vs CHA (2025-08-22)
31,f0ticxo5bjjif0gb54ewfdppm,21581,Paris 13 Atletico,Paris 13 Atletico,P13,Paris 13,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1077,"108,415","35,280","50,377","13,855",5382.7,1904.2,3376,4462,1014,344,101,21581,3,P13 vs FLE,true,false,true,false,false,2025-08-22,9t4upbclnlkqqhdukp1xrljpw,1z48unyzdkaoulghr9kkgt1g0,12199,12199,Paris 13 Atletico,Fleury,FLE,1,0,Played,W 1-0,2585275,P13 vs FLE (2025-08-22)
31,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National 1 (France),984,"110,782","31,426","56,711","15,162",5690.1,1802.2,3612,4918,1103,367,92,2130,3,SBR vs DIJ,false,true,false,true,false,2025-08-22,9ttfqvvuypw0d4nw02mclmhas,rv0okxl2zv1ow3me605xl8b5,3271,3271,Dijon,Stade Briochin,SBR,0,0,Played,T 0-0,2585277,SBR vs DIJ (2025-08-22)
31,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1054,"121,403","31,984","61,734","17,866",6237.2,1889.9,3673,5079,1276,399,96,6785,3,ORL vs VFC,true,false,true,false,false,2025-08-22,9ssmf7ogysd86i5ccrj0ddkic,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Orléans,Valenciennes,VFC,2,1,Played,W 2-1,2585274,ORL vs VFC (2025-08-22)
31,9ri5xhi5qaozcqb7svbvcc4eu,14035,Le Puy Foot,Le Puy Foot,PUY,Le Puy,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1129,"111,410","34,502","52,883","14,191",5578.1,1617.6,3421,4619,1022,342,84,14035,3,PUY vs CHA,true,false,false,true,false,2025-08-22,9sgc6840y309m5jfkk8mmk5ck,67igj3fctu1kt6ntkrwpdt72i,921,921,Le Puy Foot,Châteauroux,CHA,2,2,Played,T 2-2,2585273,PUY vs CHA (2025-08-22)
31,36bxy6avfw3xp8ocj9frad4b7,3315,Villefranche,Villefranche,VIL,Villefranche,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1076,"76,757","24,529","32,019","11,091",4939.7,1820.0,3090,3429,663,292,82,3315,3,VIL vs QRM,true,false,true,false,false,2025-08-22,9u5gfvx6dl0oiubtkfogpludw,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Villefranche,Quevilly-Rouen Métropole,QRM,2,1,Played,W 2-1,2585278,VIL vs QRM (2025-08-22)
31,rv0okxl2zv1ow3me605xl8b5,3271,Stade Briochin,Stade Briochin,SBR,Stade Briochin,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1023,"113,963","32,878","59,285","14,385",5578.8,1631.4,3798,5024,1074,358,90,3271,3,SBR vs DIJ,true,false,false,true,false,2025-08-22,9ttfqvvuypw0d4nw02mclmhas,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Stade Briochin,Dijon,DIJ,0,0,Played,T 0-0,2585277,SBR vs DIJ (2025-08-22)
31,g8cvbv4wrvq7uf4347yjkd35,1996,Valenciennes,Valenciennes,VFC,Valenciennes,#FF0000,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1054,"123,380","32,688","61,175","18,560",6920.9,1934.5,3727,5211,1346,434,103,1996,3,ORL vs VFC,false,true,false,false,true,2025-08-22,9ssmf7ogysd86i5ccrj0ddkic,d79cmam5svw9j2mplbu9kut7p,6785,6785,Valenciennes,Orléans,ORL,1,2,Played,L 1-2,2585274,ORL vs VFC (2025-08-22)
31,33u2ehjypfcu7w3s0pul7tmm7,3272,Concarneau,Concarneau,CON,Concarneau,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1044,"107,772","34,935","54,378","13,181",4798.2,1449.0,3713,4798,1001,303,79,3272,3,BBP vs CON,false,true,true,false,false,2025-08-22,9rq27gswo9dz81rzpqzelgqac,bizl0ptma24fjoafuqclu8k5b,3312,3312,Concarneau,Bourg-Péronnas,BBP,2,0,Played,W 2-0,2585271,BBP vs CON (2025-08-22)
31,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1070,"114,388","34,245","56,650","16,213",5550.7,1562.0,3463,4761,1183,349,75,1028,3,CAE vs VRS,true,false,false,false,true,2025-08-22,9thga3sp9bwtgvsjror4ar0no,dse1eu8y1o3t00rlbxpgo084c,5427,5427,Caen,Versailles,VRS,0,2,Played,L 0-2,2585276,CAE vs VRS (2025-08-22)
31,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-Rouen Métropole,Quevilly-Rouen Métropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1032,"77,141","25,156","33,036","11,543",4972.8,2027.9,3156,3771,801,295,88,2541,3,VIL vs QRM,false,true,false,false,true,2025-08-22,9u5gfvx6dl0oiubtkfogpludw,36bxy6avfw3xp8ocj9frad4b7,3315,3315,Quevilly-Rouen Métropole,Villefranche,VIL,1,2,Played,L 1-2,2585278,VIL vs QRM (2025-08-22)
31,1z48unyzdkaoulghr9kkgt1g0,12199,Fleury,Fleury,FLE,Fleury,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1043,"109,397","32,535","52,526","14,993",6154.0,1735.1,3331,4595,1127,383,92,12199,3,P13 vs FLE,false,true,false,false,true,2025-08-22,9t4upbclnlkqqhdukp1xrljpw,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Fleury,Paris 13 Atletico,P13,0,1,Played,L 0-1,2585275,P13 vs FLE (2025-08-22)
31,bizl0ptma24fjoafuqclu8k5b,3312,Bourg-Péronnas,Bourg-Péronnas,BBP,Bourg-Péronnas,#0000ff,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1044,"108,803","34,476","54,555","13,727",5325.6,1564.2,3683,4728,1023,332,82,3312,3,BBP vs CON,true,false,false,false,true,2025-08-22,9rq27gswo9dz81rzpqzelgqac,33u2ehjypfcu7w3s0pul7tmm7,3272,3272,Bourg-Péronnas,Concarneau,CON,0,2,Played,L 0-2,2585271,BBP vs CON (2025-08-22)
31,dse1eu8y1o3t00rlbxpgo084c,5427,Versailles,Versailles,VRS,Versailles,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1070,"116,562","33,519","59,700","16,239",5638.4,1526.5,3615,4997,1202,357,84,5427,3,CAE vs VRS,false,true,true,false,false,2025-08-22,9thga3sp9bwtgvsjror4ar0no,ab80vest6tgco121qtfyphq7c,1028,1028,Versailles,Caen,CAE,2,0,Played,W 2-0,2585276,CAE vs VRS (2025-08-22)
45,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1084,"120,084","32,547","60,970","18,121",6953.9,2005.5,3501,4970,1315,440,106,921,4,CHA vs ORL,true,false,false,false,true,2025-08-29,9v5dk0jktb6m3qmeh08nysb9w,d79cmam5svw9j2mplbu9kut7p,6785,6785,Châteauroux,Orléans,ORL,0,1,Played,L 0-1,2585281,CHA vs ORL (2025-08-29)
45,f0ticxo5bjjif0gb54ewfdppm,21581,Paris 13 Atletico,Paris 13 Atletico,P13,Paris 13,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1086,"113,091","33,021","56,228","15,576",5466.9,1327.0,3518,4771,1148,342,75,21581,4,DIJ vs P13,false,true,false,false,true,2025-08-29,9utd0k09v5vopg38ghzgztlp0,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Paris 13 Atletico,Dijon,DIJ,2,4,Played,L 2-4,2585280,DIJ vs P13 (2025-08-29)
45,7gytr31zcn0gcewa7pu1ed5hz,9600,Aubagne,Aubagne,AUB,Aubagne,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1031,"116,390","34,495","56,781","15,815",7111.0,3139.6,3562,4940,1177,422,156,9600,4,AUB vs CON,true,false,false,true,false,2025-08-29,9uhhj2z78idyu3vzbyhhq9ses,33u2ehjypfcu7w3s0pul7tmm7,3272,3272,Aubagne,Concarneau,CON,1,1,Played,T 1-1,2585279,AUB vs CON (2025-08-29)
45,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1086,"113,495","33,507","55,939","16,653",5757.4,1579.6,3449,4754,1194,363,87,2130,4,DIJ vs P13,true,false,true,false,false,2025-08-29,9utd0k09v5vopg38ghzgztlp0,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Dijon,Paris 13 Atletico,P13,4,2,Played,W 4-2,2585280,DIJ vs P13 (2025-08-29)
45,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1084,"119,564","32,395","59,184","18,253",6896.0,1928.0,3415,4920,1321,441,107,6785,4,CHA vs ORL,false,true,true,false,false,2025-08-29,9v5dk0jktb6m3qmeh08nysb9w,67igj3fctu1kt6ntkrwpdt72i,921,921,Orléans,Châteauroux,CHA,1,0,Played,W 1-0,2585281,CHA vs ORL (2025-08-29)
