Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName.1,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
31,f0ticxo5bjjif0gb54ewfdppm,21581,Paris13Atletico,Paris13Atletico,P13,Paris13,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1077,108415,35280,50377,13855,5382.7,1904.2,3376,4462,1014,344,101,21581,3,P13vsFLE,true,false,true,false,false,2025-08-22,9t4upbclnlkqqhdukp1xrljpw,1z48unyzdkaoulghr9kkgt1g0,12199,12199,Paris13Atletico,Fleury,FLE,1,0,Played,W1-0,2585275,P13vsFLE(2025-08-22)
31,79dc2mv3x269nhix3mkhc5wfu,2130,Dijon,Dijon,DIJ,Dijon,#FFA500,1qd0wvt30rlswa4g6nu4na660,National1(France),984,110782,31426,56711,15162,5690.1,1802.2,3612,4918,1103,367,92,2130,3,SBRvsDIJ,false,true,false,true,false,2025-08-22,9ttfqvvuypw0d4nw02mclmhas,rv0okxl2zv1ow3me605xl8b5,3271,3271,Dijon,StadeBriochin,SBR,0,0,Played,T0-0,2585277,SBRvsDIJ(2025-08-22)
31,d79cmam5svw9j2mplbu9kut7p,6785,Orléans,Orléans,ORL,Orléans,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1054,121403,31984,61734,17866,6237.2,1889.9,3673,5079,1276,399,96,6785,3,ORLvsVFC,true,false,true,false,false,2025-08-22,9ssmf7ogysd86i5ccrj0ddkic,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Orléans,Valenciennes,VFC,2,1,Played,W2-1,2585274,ORLvsVFC(2025-08-22)
31,9ri5xhi5qaozcqb7svbvcc4eu,14035,LePuyFoot,LePuyFoot,PUY,LePuy,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1129,111410,34502,52883,14191,5578.1,1617.6,3421,4619,1022,342,84,14035,3,PUYvsCHA,true,false,false,true,false,2025-08-22,9sgc6840y309m5jfkk8mmk5ck,67igj3fctu1kt6ntkrwpdt72i,921,921,LePuyFoot,Châteauroux,CHA,2,2,Played,T2-2,2585273,PUYvsCHA(2025-08-22)
31,36bxy6avfw3xp8ocj9frad4b7,3315,Villefranche,Villefranche,VIL,Villefranche,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1076,76757,24529,32019,11091,4939.7,1820.0,3090,3429,663,292,82,3315,3,VILvsQRM,true,false,true,false,false,2025-08-22,9u5gfvx6dl0oiubtkfogpludw,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Villefranche,Quevilly-RouenMétropole,QRM,2,1,Played,W2-1,2585278,VILvsQRM(2025-08-22)
31,rv0okxl2zv1ow3me605xl8b5,3271,StadeBriochin,StadeBriochin,SBR,StadeBriochin,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1023,113963,32878,59285,14385,5578.8,1631.4,3798,5024,1074,358,90,3271,3,SBRvsDIJ,true,false,false,true,false,2025-08-22,9ttfqvvuypw0d4nw02mclmhas,79dc2mv3x269nhix3mkhc5wfu,2130,2130,StadeBriochin,Dijon,DIJ,0,0,Played,T0-0,2585277,SBRvsDIJ(2025-08-22)
31,g8cvbv4wrvq7uf4347yjkd35,1996,Valenciennes,Valenciennes,VFC,Valenciennes,#FF0000,1qd0wvt30rlswa4g6nu4na660,National1(France),1054,123380,32688,61175,18560,6920.9,1934.5,3727,5211,1346,434,103,1996,3,ORLvsVFC,false,true,false,false,true,2025-08-22,9ssmf7ogysd86i5ccrj0ddkic,d79cmam5svw9j2mplbu9kut7p,6785,6785,Valenciennes,Orléans,ORL,1,2,Played,L1-2,2585274,ORLvsVFC(2025-08-22)
31,33u2ehjypfcu7w3s0pul7tmm7,3272,Concarneau,Concarneau,CON,Concarneau,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1044,107772,34935,54378,13181,4798.2,1449.0,3713,4798,1001,303,79,3272,3,BBPvsCON,false,true,true,false,false,2025-08-22,9rq27gswo9dz81rzpqzelgqac,bizl0ptma24fjoafuqclu8k5b,3312,3312,Concarneau,Bourg-Péronnas,BBP,2,0,Played,W2-0,2585271,BBPvsCON(2025-08-22)
31,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National1(France),1070,114388,34245,56650,16213,5550.7,1562.0,3463,4761,1183,349,75,1028,3,CAEvsVRS,true,false,false,false,true,2025-08-22,9thga3sp9bwtgvsjror4ar0no,dse1eu8y1o3t00rlbxpgo084c,5427,5427,Caen,Versailles,VRS,0,2,Played,L0-2,2585276,CAEvsVRS(2025-08-22)
31,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-RouenMétropole,Quevilly-RouenMétropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1032,77141,25156,33036,11543,4972.8,2027.9,3156,3771,801,295,88,2541,3,VILvsQRM,false,true,false,false,true,2025-08-22,9u5gfvx6dl0oiubtkfogpludw,36bxy6avfw3xp8ocj9frad4b7,3315,3315,Quevilly-RouenMétropole,Villefranche,VIL,1,2,Played,L1-2,2585278,VILvsQRM(2025-08-22)
